Channel Name,Country,Likes Avg.,Posts,Followers,Comments Avg.,Views Avg.,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement,Engagement per Follower,Likes per Post,Main video category
nickyjampr,CO,383991.925,11282,43340622,2543.387709,1661245.952,57560.5,152746.0,150392.0625,0.00680867,3331994359.0,76.87924642613574,34.035802605920935,Unknown
jannatzubair29,Unknown,1326973.625,1600,43312974,10851.72128,3320745.811,688606.0,798620.8889,860484.6087,0.025079685,1729193917.0,39.92323217057319,829.358515625,Fashion & Beauty
varundvn,IN,1065018.25,1899,43215034,5572.77635,2897460.875,587374.0,416366.3333,503860.8571,0.020927858,1651997000.0,38.22736781833841,560.8310953133227,Trailers
brunamarquezine,US,1002055.0,3016,43067731,7223.0317,2455963.218,863788.0,863788.0,446550.6667,0.017398162,2271683566.0,52.74676685428355,332.2463527851459,Entertainment
caradelevingne,US,806313.0,4380,42991683,2654.309804,2510408.69,160709.0,160709.0,278436.4,0.014205583,2706827091.0,62.96164518611658,184.0897260273973,Unknown
buzzfeedtasty,ES,67247.14946,8617,42970746,454.8738128,1189325.801,8197.0,9341.557692,8959.894737,0.001226897,492229903.7,11.455000192456517,7.804009453406058,Travel & Events
kapilsharma,Unknown,664476.0,958,42000622,3186.901274,2232735.655,0.0,0.0,364037.0,0.018015054,578111734.0,13.764361251602416,693.6075156576201,Comedy
britneyspears,TR,523267.0714,2998,41807497,9891.539451,6241768.775,106723.2,194049.0,503971.75,0.010751704,1355474171.0,32.421796765302645,174.53871627751835,Unknown
mariliamendoncacantora,BR,1058071.0,1429,41681598,10442.04909,9808431.333,0.0,0.0,0.0,0.018817859,1147127270.0,27.52119220573069,740.4275717284814,Music
badbunnypr,Unknown,3644587.5,16,41310397,58246.55779,8652812.674,7713443.0,7713443.0,5710268.5,0.066434844,84172657.25999999,2.037565924626674,227786.71875,Comedy
dior,Unknown,88831.49754,9623,41223938,532.8151891,620189.504,30234.46429,33972.56604,45682.43119,0.001947609,806626890.2,19.566953797572666,9.231164661747895,Gaming
norafatehi,AI,1364004.6,1682,41161527,5436.966238,5906504.054,536660.3333,570485.25,655721.6154,0.024253269,1701493738.0,41.33699262420463,810.9420927467302,Comedy
jenniferaniston,Unknown,4565592.5,98,40741767,36019.39726,12115309.36,544727.0,544727.0,544727.0,0.084107366,372771665.8,9.149619499812072,46587.67857142857,Gaming
marinaruybarbosa,BR,586382.3333,2098,40573646,3469.904192,712501.3182,0.0,0.0,0.0,0.010867681,947748073.4,23.358711055940105,279.49586906577696,Unknown
addisonraee,Unknown,3150451.0,298,40402560,8362.427152,6400652.176,1009004.0,1026147.111,1214530.0,0.060823575,771608756.7,19.098016479648816,10571.98322147651,Gaming
theweeknd,Unknown,1141438.667,630,40223677,7543.174359,2212274.667,0.0,0.0,2532971.0,0.023413029,622704762.3,15.481050185938992,1811.807407936508,News & Politics
ranveersingh,CH,1015087.5,1738,40112340,3003.619942,1188881.362,236391.75,237287.2,328866.9286,0.018816311,1339859581.0,33.402678103546194,584.0549482163407,Movies
andresiniesta8,ES,250762.0714,1977,39745058,715.5532646,519624.8571,97259.25,217431.125,175277.8125,0.005580242,475700939.3,11.968807274101852,126.83969215983814,Fashion & Beauty
princessyahrini,ID,118171.125,4455,39581466,692.5880102,912626.4667,0.0,0.0,0.0,0.002861135,540543748.0,13.656486295884038,26.52550505050505,Unknown
liverpoolfc,GB,346707.9961,9953,39515025,1254.344763,1128585.458,142629.4091,146055.6538,146055.6538,0.007418181,2911467231.0,73.68000478299078,34.83452186275495,Unknown
teddysphotos,US,738566.85,2301,39439449,4255.075157,1715096.594,332434.0,286783.1667,251330.0,0.015654179,1407526827.0,35.68829845974775,320.9764667535854,Unknown
georginagio,Unknown,2237436.0,726,39025459,7401.983784,7940965.585,4019816.0,4022033.5,3193934.231,0.047356557,1362205843.0,34.90556877242623,3081.867768595041,Fashion & Beauty
natashawilona12,Unknown,489665.375,1143,38846946,3433.455526,1621378.828,274348.5,273239.0,218012.6667,0.009923993,475111505.4,12.230343806177196,428.4036526684165,Fashion & Beauty
ruben_onsu,ID,139324.5079,13440,38776943,763.734903,474431.177,44411.5,52250.42424,52223.56522,0.002738311,1438308848.0,37.0918576020807,10.36640683779762,Unknown
mahi7781,Unknown,4054863.25,107,38747041,67652.64,16107512.2,0.0,0.0,0.0,0.089112672,395786113.3,10.214615183131016,37895.918224299065,Gaming
chrissyteigen,US,631385.875,5078,38516696,3798.853279,4103189.973,173582.5556,135266.381,130093.6744,0.012565285,2440646636.0,63.36593969534666,124.33750984639622,Entertainment
hm,SE,89143.59722,7234,38465468,280.1325731,553953.5636,32376.875,23677.70588,23883.025,0.00183975,548257621.5,14.25324193377811,12.32286386784628,Unknown
wizkhalifa,US,402888.9,424,38459483,2102.062901,1495132.541,133757.0,131096.1429,144087.7143,0.0080336,166497120.9,4.32915650218179,950.2096698113209,Unknown
j.m,Unknown,14124890.5,22,38138950,0.523809524,0.0,9539024.0,9539024.0,11269273.0,0.345695884,324995924.4,8.521365281424895,642040.4772727273,Gaming
anushkasen0408,Unknown,695413.1192,5203,37993409,5034.175569,571228.0,616656.6667,568987.1538,615201.8293,0.014705749,2908705401.0,76.55815778468313,133.6561828176052,Travel & Events
